OPR_DT,OPR_HR,MW
1/12/2019,18,51.95891
1/12/2019,19,50.56893
1/12/2019,20,48.31551
1/12/2019,21,43.19869
1/12/2019,22,41.98834
1/12/2019,23,38.75597
1/12/2019,24,37.42282
1/13/2019,1,36.61746
1/13/2019,2,35.54529
1/13/2019,3,35.01861
1/13/2019,4,35.4906
1/13/2019,5,35.48381
1/13/2019,6,38.22631
1/13/2019,7,38.51289
1/13/2019,8,37.39913
1/13/2019,9,32.91441
1/13/2019,10,31.19452
1/13/2019,11,29.6843
1/13/2019,12,27.29565
1/13/2019,13,26.38325
1/13/2019,14,29.60794
1/13/2019,15,30.70962
1/13/2019,16,37.88867
1/13/2019,17,41.94549
1/13/2019,18,53.41273
1/13/2019,19,55.16488
1/13/2019,20,50.61873
1/13/2019,21,44.33174
1/13/2019,22,40.59201
1/13/2019,23,38.9695
1/13/2019,24,36.73343
1/14/2019,1,34.84349
1/14/2019,2,33.40424
1/14/2019,3,32.18659
1/14/2019,4,32.10196
1/14/2019,5,34.94529
1/14/2019,6,38.64058
1/14/2019,7,47.55458
1/14/2019,8,45.16229
1/14/2019,9,40.55592
1/14/2019,10,40.0814
1/14/2019,11,38.18057
1/14/2019,12,35.02998
1/14/2019,13,34.42348
1/14/2019,14,37.37981
1/14/2019,15,37.99904
1/14/2019,16,40.94595
1/14/2019,17,50.77129
1/14/2019,18,68.43219
1/14/2019,19,62.56416
1/14/2019,20,59.67232
1/14/2019,21,51.23979
1/14/2019,22,41.52181
1/14/2019,23,38.79689
1/14/2019,24,36.71393
1/15/2019,1,39.48257
1/15/2019,2,38.89274
1/15/2019,3,37.44846
1/15/2019,4,38.23899
1/15/2019,5,39.20465
1/15/2019,6,41.28059
1/15/2019,7,52.77899
1/15/2019,8,60.76158
1/15/2019,9,46.8214
1/15/2019,10,49.62637
1/15/2019,11,45.88141
1/15/2019,12,44.87875
1/15/2019,13,41.24183
1/15/2019,14,41.19316
1/15/2019,15,42.57958
1/15/2019,16,43.87408
1/15/2019,17,53.94936
1/15/2019,18,70.75292
1/15/2019,19,74.19586
1/15/2019,20,68.2512
1/15/2019,21,55.16778
1/15/2019,22,47.45458
