OPR_DT,OPR_HR,MW - Regulation Down MAX,MW - Regulation Down Min,MW - Regulation Up MAX,MW - Regulation Up Min
1/13/2020,19,900,8.88,0,8.88
1/13/2020,20,900,8.88,0,8.88
1/13/2020,21,900,8.88,0,8.88
1/13/2020,22,900,8.88,0,8.88
1/13/2020,23,900,8.88,0,8.88
1/13/2020,24,900,8.88,0,8.88
1/14/2020,1,900,8.88,0,8.88
1/14/2020,2,900,8.88,0,8.88
1/14/2020,3,900,8.88,0,8.88
1/14/2020,4,900,8.88,0,8.88
1/14/2020,5,900,8.88,0,8.88
1/14/2020,6,1058.73,8.88,0,8.88
1/14/2020,7,900,8.88,0,8.88
1/14/2020,8,900,8.88,0,8.88
1/14/2020,9,900,8.88,0,8.88
1/14/2020,10,900,8.88,0,8.88
1/14/2020,11,900,8.88,0,8.88
1/14/2020,12,900,8.88,0,8.88
1/14/2020,13,900,8.88,0,8.88
1/14/2020,14,900,8.88,0,8.88
1/14/2020,15,900,8.88,0,8.88
1/14/2020,16,900,8.88,0,8.88
1/14/2020,17,1044.65,8.88,0,8.88
1/14/2020,18,900,8.88,0,8.88
1/14/2020,19,900,8.88,0,8.88
1/14/2020,20,900,8.88,0,8.88
1/14/2020,21,900,8.88,0,8.88
1/14/2020,22,900,8.88,0,8.88
1/14/2020,23,900,8.88,0,8.88
1/14/2020,24,900,8.88,0,8.88
1/15/2020,1,900,8.88,0,8.88
1/15/2020,2,900,8.88,0,8.88
1/15/2020,3,900,8.88,0,8.88
1/15/2020,4,900,8.88,0,8.88
1/15/2020,5,922.45,8.88,0,8.88
1/15/2020,6,1038.94,8.88,0,8.88
1/15/2020,7,900,8.88,0,8.88
1/15/2020,8,900,8.88,0,8.88
1/15/2020,9,900,8.88,0,8.88
1/15/2020,10,900,8.88,0,8.88
1/15/2020,11,900,8.88,0,8.88
1/15/2020,12,900,8.88,0,8.88
1/15/2020,13,900,8.88,0,8.88
1/15/2020,14,900,8.88,0,8.88
1/15/2020,15,900,8.88,0,8.88
1/15/2020,16,900,8.88,0,8.88
1/15/2020,17,1045.96,8.88,0,8.88
1/15/2020,18,900,8.88,0,8.88
1/15/2020,19,900,8.88,0,8.88
1/15/2020,20,900,8.88,0,8.88
1/15/2020,21,900,8.88,0,8.88
1/15/2020,22,900,8.88,0,8.88
1/15/2020,23,900,8.88,0,8.88
1/15/2020,24,900,8.88,0,8.88
1/16/2020,1,900,8.88,0,8.88
1/16/2020,2,900,8.88,0,8.88
1/16/2020,3,900,8.88,0,8.88
1/16/2020,4,900,8.88,0,8.88
1/16/2020,5,900,8.88,0,8.88
1/16/2020,6,1031.11,8.88,0,8.88
1/16/2020,7,900,8.88,0,8.88
1/16/2020,8,900,8.88,0,8.88
1/16/2020,9,900,8.88,0,8.88
1/16/2020,10,900,8.88,0,8.88
1/16/2020,11,900,8.88,0,8.88
1/16/2020,12,900,8.88,0,8.88
1/16/2020,13,900,8.88,0,8.88
1/16/2020,14,900,8.88,0,8.88
1/16/2020,15,900,8.88,0,8.88
1/16/2020,16,900,8.88,0,8.88
1/16/2020,17,998.54,8.88,0,8.88
1/16/2020,18,900,8.88,0,8.88
1/16/2020,19,900,8.88,0,8.88
1/16/2020,20,900,8.88,0,8.88
1/16/2020,21,900,8.88,0,8.88
1/16/2020,22,900,8.88,0,8.88
1/16/2020,23,900,8.88,0,8.88
1/16/2020,24,900,8.88,0,8.88
1/17/2020,1,900,8.88,0,8.88
1/17/2020,2,900,8.88,0,8.88
1/17/2020,3,900,8.88,0,8.88
1/17/2020,4,900,8.88,0,8.88
1/17/2020,5,900,8.88,0,8.88
1/17/2020,6,1027.7,8.88,0,8.88
1/17/2020,7,900,8.88,0,8.88
1/17/2020,8,900,8.88,0,8.88
1/17/2020,9,900,8.88,0,8.88
1/17/2020,10,900,8.88,0,8.88
1/17/2020,11,900,8.88,0,8.88
1/17/2020,12,900,8.88,0,8.88
1/17/2020,13,900,8.88,0,8.88
1/17/2020,14,900,8.88,0,8.88
1/17/2020,15,900,8.88,0,8.88
1/17/2020,16,900,8.88,0,8.88
1/17/2020,17,1024.7,8.88,0,8.88
1/17/2020,18,900,8.88,0,8.88
1/17/2020,19,900,8.88,0,8.88
1/17/2020,20,900,8.88,0,8.88
1/17/2020,21,900,8.88,0,8.88
1/17/2020,22,900,8.88,0,8.88
1/17/2020,23,900,8.88,0,8.88
1/17/2020,24,900,8.88,0,8.88
1/18/2020,1,900,8.88,0,8.88
1/18/2020,2,900,8.88,0,8.88
1/18/2020,3,900,8.88,0,8.88
1/18/2020,4,900,8.88,0,8.88
1/18/2020,5,900,8.88,0,8.88
1/18/2020,6,900,8.88,0,8.88
1/18/2020,7,900,8.88,0,8.88
1/18/2020,8,900,8.88,0,8.88
1/18/2020,9,900,8.88,0,8.88
1/18/2020,10,900,8.88,0,8.88
1/18/2020,11,900,8.88,0,8.88
1/18/2020,12,900,8.88,0,8.88
1/18/2020,13,900,8.88,0,8.88
1/18/2020,14,900,8.88,0,8.88
1/18/2020,15,900,8.88,0,8.88
1/18/2020,16,900,8.88,0,8.88
1/18/2020,17,1054.7,8.88,0,8.88
1/18/2020,18,900,8.88,0,8.88
1/18/2020,19,900,8.88,0,8.88
1/18/2020,20,900,8.88,0,8.88
1/18/2020,21,900,8.88,0,8.88
1/18/2020,22,900,8.88,0,8.88
1/18/2020,23,900,8.88,0,8.88
1/18/2020,24,900,8.88,0,8.88
1/19/2020,1,900,8.88,0,8.88
1/19/2020,2,900,8.88,0,8.88
1/19/2020,3,900,8.88,0,8.88
1/19/2020,4,900,8.88,0,8.88
1/19/2020,5,900,8.88,0,8.88
1/19/2020,6,900,8.88,0,8.88
1/19/2020,7,900,8.88,0,8.88
1/19/2020,8,900,8.88,0,8.88
1/19/2020,9,900,8.88,0,8.88
1/19/2020,10,900,8.88,0,8.88
1/19/2020,11,900,8.88,0,8.88
1/19/2020,12,900,8.88,0,8.88
1/19/2020,13,900,8.88,0,8.88
1/19/2020,14,900,8.88,0,8.88
1/19/2020,15,900,8.88,0,8.88
1/19/2020,16,900,8.88,0,8.88
1/19/2020,17,1035.63,8.88,0,8.88
1/19/2020,18,900,8.88,0,8.88
1/19/2020,19,900,8.88,0,8.88
1/19/2020,20,900,8.88,0,8.88
1/19/2020,21,900,8.88,0,8.88
1/19/2020,22,900,8.88,0,8.88
1/19/2020,23,900,8.88,0,8.88
1/19/2020,24,900,8.88,0,8.88
1/20/2020,1,900,8.88,0,8.88
1/20/2020,2,900,8.88,0,8.88
1/20/2020,3,900,8.88,0,8.88
1/20/2020,4,900,8.88,0,8.88
1/20/2020,5,900,8.88,0,8.88
1/20/2020,6,917.3,8.88,0,8.88
1/20/2020,7,900,8.88,0,8.88
1/20/2020,8,900,8.88,0,8.88
1/20/2020,9,900,8.88,0,8.88
1/20/2020,10,900,8.88,0,8.88
1/20/2020,11,900,8.88,0,8.88
1/20/2020,12,900,8.88,0,8.88
1/20/2020,13,900,8.88,0,8.88
